6-bit-char to ASCII table
6-bit int	ASCII hex	Html	Human
1	20	&#32;	Space
2	21	&#33;	!
3	25	&#37;	%
4	26	&#38;	&
5	28	&#40;	(
6	29	&#41;	)
7	2A	&#42;	*
8	2B	&#43;	+
9	2C	&#44;	,
10	2D	&#45;	-
11	2E	&#46;	.
12	2F	&#47;	/
13	30	&#48;	0
14	31	&#49;	1
15	32	&#50;	2
16	33	&#51;	3
17	34	&#52;	4
18	35	&#53;	5
19	36	&#54;	6
20	37	&#55;	7
21	38	&#56;	8
22	39	&#57;	9
23	3A	&#58;	:
24	3C	&#60;	<
25	3D	&#61;	=
26	3E	&#62;	>
27	3F	&#63;	?
28	41	&#65;	A
29	42	&#66;	B
30	43	&#67;	C
31	4C	&#76;	L
32	5B	&#91;	[
33	5C	&#92;	\
34	5D	&#93;	]
35	5E	&#94;	^
36	61	&#97;	a
37	62	&#98;	b
38	63	&#99;	c
39	64	&#100;	d
40	65	&#101;	e
41	66	&#102;	f
42	67	&#103;	g
43	68	&#104;	h
44	69	&#105;	i
45	6A	&#106;	j
46	6B	&#107;	k
47	6C	&#108;	l
48	6D	&#109;	m
49	6E	&#110;	n
50	6F	&#111;	o
51	70	&#112;	p
52	72	&#114;	r
53	73	&#115;	s
54	74	&#116;	t
55	75	&#117;	u
56	76	&#118;	v
57	77	&#119;	w
58	78	&#120;	x
59	79	&#121;	y
60	7A	&#122;	z
61	7B	&#123;	{
62	7C	&#124;	|
63	7D	&#125;	}
